Parameter Count: 5656144
Training with 208200 image pairs
/home/navid/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/navid/.local/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[   100,  0.0000116]     0.0565,     0.2890,     0.4479,    22.4636, 
[   200,  0.0000192]     0.0832,     0.3705,     0.5225,    15.1202, 
[   300,  0.0000269]     0.0865,     0.3603,     0.4833,    16.7352, 
[   400,  0.0000345]     0.0905,     0.3879,     0.5100,    14.1346, 
[   500,  0.0000422]     0.0882,     0.3612,     0.4970,    15.1843, 
[   600,  0.0000499]     0.0919,     0.3861,     0.5175,    15.3600, 
[   700,  0.0000575]     0.0827,     0.3752,     0.5294,    14.9317, 
[   800,  0.0000652]     0.1178,     0.4331,     0.5723,    13.9155, 
[   900,  0.0000728]     0.1150,     0.4059,     0.5501,    13.7537, 
[  1000,  0.0000805]     0.1154,     0.4272,     0.5732,    11.7948, 
[  1100,  0.0000881]     0.1447,     0.5001,     0.6437,    11.1949, 
[  1200,  0.0000958]     0.1819,     0.5360,     0.6692,    10.3098, 
[  1300,  0.0000998]     0.2248,     0.5750,     0.6959,    10.4283, 
[  1400,  0.0000994]     0.3244,     0.6544,     0.7515,     9.7340, 
[  1500,  0.0000990]     0.3766,     0.6733,     0.7601,     9.2881, 
[  1600,  0.0000986]     0.4214,     0.7028,     0.7825,     7.6687, 
[  1700,  0.0000981]     0.4678,     0.7160,     0.7925,     6.9864, 
[  1800,  0.0000977]     0.5082,     0.7388,     0.8029,     7.7408, 
[  1900,  0.0000973]     0.5339,     0.7575,     0.8194,     7.1226, 
[  2000,  0.0000969]     0.5175,     0.7466,     0.8093,     8.3358, 
[  2100,  0.0000965]     0.5523,     0.7633,     0.8218,     6.7261, 
[  2200,  0.0000960]     0.5481,     0.7614,     0.8196,     7.1433, 
[  2300,  0.0000956]     0.5395,     0.7511,     0.8103,     8.3890, 
[  2400,  0.0000952]     0.5599,     0.7676,     0.8227,     7.4408, 
[  2500,  0.0000948]     0.5721,     0.7736,     0.8314,     6.2802, 
[  2600,  0.0000944]     0.6018,     0.7991,     0.8519,     5.8794, 
[  2700,  0.0000939]     0.5851,     0.7812,     0.8351,     6.9917, 
[  2800,  0.0000935]     0.6103,     0.7975,     0.8495,     5.8155, 
[  2900,  0.0000931]     0.6116,     0.7934,     0.8414,     6.7471, 
[  3000,  0.0000927]     0.6312,     0.8058,     0.8516,     5.9565, 
[  3100,  0.0000923]     0.6728,     0.8379,     0.8800,     4.7873, 
[  3200,  0.0000918]     0.6274,     0.8011,     0.8494,     6.2074, 
[  3300,  0.0000914]     0.6439,     0.8169,     0.8636,     5.3975, 
[  3400,  0.0000910]     0.6529,     0.8209,     0.8673,     5.4490, 
[  3500,  0.0000906]     0.6638,     0.8252,     0.8676,     5.4243, 
[  3600,  0.0000902]     0.6344,     0.8080,     0.8555,     5.5245, 
[  3700,  0.0000897]     0.6780,     0.8431,     0.8864,     4.6449, 
[  3800,  0.0000893]     0.6555,     0.8171,     0.8620,     6.2280, 
[  3900,  0.0000889]     0.6606,     0.8212,     0.8637,     6.0489, 
[  4000,  0.0000885]     0.6744,     0.8299,     0.8720,     5.0706, 
[  4100,  0.0000881]     0.6789,     0.8343,     0.8748,     5.1713, 
[  4200,  0.0000877]     0.6725,     0.8287,     0.8699,     5.7771, 
[  4300,  0.0000872]     0.6436,     0.8069,     0.8516,     7.0128, 
[  4400,  0.0000868]     0.7098,     0.8570,     0.8949,     4.1328, 
[  4500,  0.0000864]     0.6748,     0.8288,     0.8711,     5.5443, 
[  4600,  0.0000860]     0.6663,     0.8272,     0.8709,     5.1848, 
[  4700,  0.0000856]     0.6765,     0.8305,     0.8736,     5.5403, 
[  4800,  0.0000851]     0.6867,     0.8351,     0.8761,     5.2575, 
[  4900,  0.0000847]     0.6959,     0.8421,     0.8826,     4.6477, 
[  5000,  0.0000843]     0.6954,     0.8513,     0.8905,     4.3314, 
Validation (clean) EPE: 3.359886, 1px: 0.763555, 3px: 0.894454, 5px: 0.925146
Validation (final) EPE: 4.383785, 1px: 0.729725, 3px: 0.864520, 5px: 0.898782
[  5100,  0.0000839]     0.6936,     0.8401,     0.8811,     4.7075, 
[  5200,  0.0000835]     0.6993,     0.8419,     0.8800,     4.9347, 
[  5300,  0.0000830]     0.7100,     0.8531,     0.8904,     4.1972, 
[  5400,  0.0000826]     0.6906,     0.8373,     0.8771,     5.3103, 
[  5500,  0.0000822]     0.7018,     0.8438,     0.8813,     5.2632, 
[  5600,  0.0000818]     0.6972,     0.8452,     0.8860,     4.5609, 
[  5700,  0.0000814]     0.7076,     0.8536,     0.8933,     3.6374, 
[  5800,  0.0000809]     0.7156,     0.8596,     0.8972,     3.9908, 
[  5900,  0.0000805]     0.7214,     0.8546,     0.8902,     4.7274, 
[  6000,  0.0000801]     0.7270,     0.8613,     0.8967,     4.5575, 
[  6100,  0.0000797]     0.7347,     0.8683,     0.9026,     4.1041, 
[  6200,  0.0000793]     0.7275,     0.8621,     0.8975,     3.9458, 
[  6300,  0.0000788]     0.7191,     0.8577,     0.8934,     4.7598, 
[  6400,  0.0000784]     0.7063,     0.8487,     0.8864,     4.9037, 
[  6500,  0.0000780]     0.7300,     0.8674,     0.9024,     3.9287, 
[  6600,  0.0000776]     0.7306,     0.8612,     0.8967,     4.3763, 
[  6700,  0.0000772]     0.7210,     0.8622,     0.8974,     4.5961, 
[  6800,  0.0000767]     0.7363,     0.8668,     0.8997,     4.9327, 
[  6900,  0.0000763]     0.7528,     0.8800,     0.9137,     3.3358, 
[  7000,  0.0000759]     0.7289,     0.8591,     0.8940,     4.5321, 
[  7100,  0.0000755]     0.7346,     0.8689,     0.9031,     3.7904, 
[  7200,  0.0000751]     0.7455,     0.8725,     0.9054,     3.8637, 
[  7300,  0.0000747]     0.7329,     0.8649,     0.8995,     4.2980, 
[  7400,  0.0000742]     0.7389,     0.8691,     0.9031,     4.0902, 
[  7500,  0.0000738]     0.7395,     0.8649,     0.8980,     4.4776, 
[  7600,  0.0000734]     0.7493,     0.8706,     0.9022,     4.8589, 
[  7700,  0.0000730]     0.7389,     0.8683,     0.9020,     4.1364, 
[  7800,  0.0000726]     0.7494,     0.8716,     0.9036,     4.3107, 
[  7900,  0.0000721]     0.7598,     0.8852,     0.9170,     3.2740, 
[  8000,  0.0000717]     0.7407,     0.8646,     0.8964,     4.6145, 
[  8100,  0.0000713]     0.7678,     0.8844,     0.9149,     3.5263, 
[  8200,  0.0000709]     0.7383,     0.8670,     0.9016,     4.2643, 
[  8300,  0.0000705]     0.7243,     0.8551,     0.8895,     4.6087, 
[  8400,  0.0000700]     0.7655,     0.8846,     0.9147,     3.5475, 
[  8500,  0.0000696]     0.7604,     0.8832,     0.9154,     3.3938, 
[  8600,  0.0000692]     0.7524,     0.8772,     0.9097,     4.3237, 
[  8700,  0.0000688]     0.7536,     0.8744,     0.9067,     4.0964, 
[  8800,  0.0000684]     0.7572,     0.8802,     0.9111,     3.7613, 
[  8900,  0.0000679]     0.7703,     0.8855,     0.9146,     3.9439, 
[  9000,  0.0000675]     0.7758,     0.8860,     0.9145,     3.3799, 
[  9100,  0.0000671]     0.7639,     0.8840,     0.9137,     3.6762, 
[  9200,  0.0000667]     0.7454,     0.8700,     0.9017,     4.0964, 
[  9300,  0.0000663]     0.7518,     0.8762,     0.9082,     4.1818, 
