Parameter Count: 5656144
Training with 208200 image pairs
/home/navid/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/navid/.local/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[  6200,  0.0000793]     0.7254,     0.8593,     0.8967,     4.1535, 
[  6300,  0.0000788]     0.7205,     0.8584,     0.8945,     4.6897, 
[  6400,  0.0000784]     0.7065,     0.8476,     0.8850,     5.0273, 
[  6500,  0.0000780]     0.7312,     0.8675,     0.9016,     3.8419, 
[  6600,  0.0000776]     0.7278,     0.8599,     0.8955,     4.3449, 
[  6700,  0.0000772]     0.7223,     0.8611,     0.8966,     4.5394, 
[  6800,  0.0000767]     0.7328,     0.8646,     0.8980,     4.9114, 
[  6900,  0.0000763]     0.7524,     0.8788,     0.9121,     3.4002, 
[  7000,  0.0000759]     0.7316,     0.8625,     0.8973,     4.3164, 
[  7100,  0.0000755]     0.7308,     0.8676,     0.9028,     3.6859, 
[  7200,  0.0000751]     0.7448,     0.8719,     0.9059,     3.7858, 
[  7300,  0.0000747]     0.7333,     0.8637,     0.8987,     4.3772, 
[  7400,  0.0000742]     0.7408,     0.8689,     0.9031,     4.0185, 
[  7500,  0.0000738]     0.7398,     0.8646,     0.8979,     4.4336, 
[  7600,  0.0000734]     0.7493,     0.8712,     0.9029,     4.5927, 
[  7700,  0.0000730]     0.7378,     0.8678,     0.9026,     4.1389, 
[  7800,  0.0000726]     0.7471,     0.8696,     0.9021,     4.3686, 
[  7900,  0.0000721]     0.7598,     0.8836,     0.9158,     3.2553, 
[  8000,  0.0000717]     0.7394,     0.8647,     0.8975,     4.4696, 
[  8100,  0.0000713]     0.7664,     0.8850,     0.9160,     3.5664, 
[  8200,  0.0000709]     0.7394,     0.8666,     0.9009,     4.2382, 
[  8300,  0.0000705]     0.7252,     0.8581,     0.8941,     4.3298, 
[  8400,  0.0000700]     0.7619,     0.8843,     0.9155,     3.5543, 
[  8500,  0.0000696]     0.7617,     0.8830,     0.9151,     3.2097, 
[  8600,  0.0000692]     0.7530,     0.8773,     0.9085,     4.2446, 
[  8700,  0.0000688]     0.7530,     0.8730,     0.9056,     4.1570, 
[  8800,  0.0000684]     0.7560,     0.8772,     0.9086,     3.8079, 
[  8900,  0.0000679]     0.7699,     0.8859,     0.9154,     3.8018, 
[  9000,  0.0000675]     0.7739,     0.8854,     0.9146,     3.3758, 
[  9100,  0.0000671]     0.7633,     0.8844,     0.9149,     3.5043, 
[  9200,  0.0000667]     0.7431,     0.8687,     0.9011,     4.0791, 
[  9300,  0.0000663]     0.7500,     0.8745,     0.9066,     4.2773, 
[  9400,  0.0000658]     0.7583,     0.8796,     0.9098,     3.9747, 
[  9500,  0.0000654]     0.7684,     0.8839,     0.9126,     4.2773, 
[  9600,  0.0000650]     0.7628,     0.8823,     0.9123,     3.5587, 
[  9700,  0.0000646]     0.7567,     0.8820,     0.9155,     3.1213, 
[  9800,  0.0000642]     0.7841,     0.8894,     0.9185,     3.2822, 
[  9900,  0.0000637]     0.8111,     0.9129,     0.9380,     2.3844, 
[ 10000,  0.0000633]     0.7713,     0.8831,     0.9123,     3.9297, 
Validation (clean) EPE: 2.298363, 1px: 0.834204, 3px: 0.928156, 5px: 0.949037
Validation (final) EPE: 3.000621, 1px: 0.802006, 3px: 0.901062, 5px: 0.927938
[ 10100,  0.0000629]     0.7668,     0.8879,     0.9189,     3.1124, 
[ 10200,  0.0000625]     0.7772,     0.8871,     0.9131,     4.2459, 
[ 10300,  0.0000621]     0.7864,     0.8941,     0.9194,     3.4303, 
[ 10400,  0.0000617]     0.7584,     0.8791,     0.9108,     3.5410, 
[ 10500,  0.0000612]     0.7935,     0.8983,     0.9259,     3.2535, 
[ 10600,  0.0000608]     0.7695,     0.8820,     0.9119,     3.7060, 
[ 10700,  0.0000604]     0.7632,     0.8788,     0.9076,     4.2649, 
[ 10800,  0.0000600]     0.7675,     0.8834,     0.9133,     3.5174, 
[ 10900,  0.0000596]     0.7548,     0.8731,     0.9052,     4.0675, 
[ 11000,  0.0000591]     0.7905,     0.8943,     0.9200,     3.7100, 
[ 11100,  0.0000587]     0.7814,     0.8922,     0.9199,     3.1193, 
[ 11200,  0.0000583]     0.8015,     0.9023,     0.9271,     3.4933, 
[ 11300,  0.0000579]     0.7911,     0.8982,     0.9239,     3.2821, 
[ 11400,  0.0000575]     0.7799,     0.8939,     0.9219,     3.3686, 
[ 11500,  0.0000570]     0.7753,     0.8869,     0.9157,     3.4925, 
[ 11600,  0.0000566]     0.7939,     0.8962,     0.9228,     3.7002, 
[ 11700,  0.0000562]     0.7876,     0.9011,     0.9287,     3.0313, 
[ 11800,  0.0000558]     0.7823,     0.8905,     0.9183,     3.5266, 
[ 11900,  0.0000554]     0.7874,     0.8949,     0.9212,     3.2103, 
[ 12000,  0.0000549]     0.7929,     0.9014,     0.9302,     2.6863, 
[ 12100,  0.0000545]     0.7806,     0.8900,     0.9195,     2.9555, 
[ 12200,  0.0000541]     0.8050,     0.9078,     0.9323,     2.9937, 
[ 12300,  0.0000537]     0.7770,     0.8867,     0.9141,     3.5875, 
[ 12400,  0.0000533]     0.7971,     0.9072,     0.9345,     2.5888, 
[ 12500,  0.0000528]     0.7864,     0.8934,     0.9197,     3.3498, 
[ 12600,  0.0000524]     0.7844,     0.8942,     0.9211,     3.5680, 
[ 12700,  0.0000520]     0.8107,     0.9123,     0.9351,     2.9629, 
[ 12800,  0.0000516]     0.7904,     0.8942,     0.9209,     3.3189, 
[ 12900,  0.0000512]     0.7765,     0.8860,     0.9150,     3.8837, 
[ 13000,  0.0000507]     0.7993,     0.8968,     0.9208,     4.1590, 
[ 13100,  0.0000503]     0.7968,     0.9022,     0.9282,     3.0809, 
[ 13200,  0.0000499]     0.8065,     0.9076,     0.9323,     2.9605, 
[ 13300,  0.0000495]     0.7835,     0.8902,     0.9178,     3.5495, 
[ 13400,  0.0000491]     0.7833,     0.8932,     0.9218,     3.4683, 
[ 13500,  0.0000486]     0.8027,     0.9029,     0.9294,     2.7164, 
[ 13600,  0.0000482]     0.8092,     0.9092,     0.9333,     3.1362, 
[ 13700,  0.0000478]     0.7993,     0.9002,     0.9256,     2.8709, 
[ 13800,  0.0000474]     0.7892,     0.8955,     0.9224,     3.3380, 
[ 13900,  0.0000470]     0.7964,     0.8993,     0.9248,     3.3899, 
[ 14000,  0.0000466]     0.7881,     0.8896,     0.9162,     3.6028, 
[ 14100,  0.0000461]     0.8127,     0.9119,     0.9372,     2.3893, 
[ 14200,  0.0000457]     0.8042,     0.9049,     0.9297,     2.9589, 
[ 14300,  0.0000453]     0.8096,     0.9059,     0.9299,     2.6832, 
[ 14400,  0.0000449]     0.7660,     0.8770,     0.9060,     4.0577, 
[ 14500,  0.0000445]     0.7869,     0.8909,     0.9177,     3.5773, 
[ 14600,  0.0000440]     0.7873,     0.8928,     0.9197,     3.9310, 
[ 14700,  0.0000436]     0.7956,     0.8948,     0.9215,     3.3990, 
[ 14800,  0.0000432]     0.7723,     0.8852,     0.9132,     3.5939, 
[ 14900,  0.0000428]     0.7996,     0.9029,     0.9274,     2.9181, 
[ 15000,  0.0000424]     0.8028,     0.9025,     0.9274,     3.0028, 
Validation (clean) EPE: 2.191260, 1px: 0.856254, 3px: 0.937090, 5px: 0.954907
Validation (final) EPE: 2.834470, 1px: 0.821128, 3px: 0.911150, 5px: 0.935458
[ 15100,  0.0000419]     0.7902,     0.8944,     0.9202,     3.6916, 
[ 15200,  0.0000415]     0.8062,     0.9079,     0.9328,     3.0377, 
[ 15300,  0.0000411]     0.7924,     0.8988,     0.9264,     3.1440, 
[ 15400,  0.0000407]     0.8058,     0.9010,     0.9252,     3.5068, 
[ 15500,  0.0000403]     0.8211,     0.9131,     0.9367,     2.4710, 
[ 15600,  0.0000398]     0.7959,     0.9001,     0.9263,     3.2746, 
[ 15700,  0.0000394]     0.8031,     0.9050,     0.9297,     3.0218, 
[ 15800,  0.0000390]     0.7792,     0.8858,     0.9132,     3.6224, 
[ 15900,  0.0000386]     0.8002,     0.8996,     0.9255,     3.0732, 
[ 16000,  0.0000382]     0.7942,     0.8951,     0.9211,     3.4250, 
[ 16100,  0.0000377]     0.8200,     0.9181,     0.9428,     2.0850, 
[ 16200,  0.0000373]     0.8219,     0.9148,     0.9372,     2.4509, 
[ 16300,  0.0000369]     0.8285,     0.9209,     0.9422,     2.4907, 
[ 16400,  0.0000365]     0.8138,     0.9146,     0.9377,     2.8197, 
[ 16500,  0.0000361]     0.7952,     0.8944,     0.9197,     3.5309, 
[ 16600,  0.0000356]     0.8026,     0.9031,     0.9277,     2.8640, 
[ 16700,  0.0000352]     0.8033,     0.9058,     0.9305,     2.7827, 
[ 16800,  0.0000348]     0.8085,     0.9081,     0.9328,     2.6786, 
[ 16900,  0.0000344]     0.8138,     0.9077,     0.9315,     2.7169, 
[ 17000,  0.0000340]     0.8077,     0.9087,     0.9331,     2.7814, 
[ 17100,  0.0000336]     0.8007,     0.8982,     0.9225,     3.5796, 
[ 17200,  0.0000331]     0.8055,     0.9000,     0.9234,     3.5245, 
[ 17300,  0.0000327]     0.8114,     0.9038,     0.9281,     2.9706, 
[ 17400,  0.0000323]     0.7937,     0.8929,     0.9188,     3.1057, 
[ 17500,  0.0000319]     0.7979,     0.8977,     0.9230,     3.9659, 
[ 17600,  0.0000315]     0.8164,     0.9096,     0.9335,     2.6232, 
[ 17700,  0.0000310]     0.8060,     0.9007,     0.9242,     3.2169, 
[ 17800,  0.0000306]     0.8171,     0.9106,     0.9330,     3.0211, 
[ 17900,  0.0000302]     0.8020,     0.8975,     0.9214,     3.3009, 
[ 18000,  0.0000298]     0.8251,     0.9141,     0.9361,     2.6134, 
[ 18100,  0.0000294]     0.8039,     0.8978,     0.9231,     3.0820, 
[ 18200,  0.0000289]     0.8143,     0.9094,     0.9331,     2.4425, 
[ 18300,  0.0000285]     0.7964,     0.8989,     0.9241,     3.3274, 
[ 18400,  0.0000281]     0.8047,     0.9023,     0.9275,     3.0474, 
[ 18500,  0.0000277]     0.8093,     0.9078,     0.9317,     3.1123, 
[ 18600,  0.0000273]     0.8098,     0.9040,     0.9290,     2.8318, 
[ 18700,  0.0000268]     0.8184,     0.9124,     0.9360,     2.3085, 
[ 18800,  0.0000264]     0.8192,     0.9138,     0.9377,     2.5991, 
[ 18900,  0.0000260]     0.8188,     0.9125,     0.9350,     2.5955, 
[ 19000,  0.0000256]     0.8032,     0.9019,     0.9258,     2.7584, 
[ 19100,  0.0000252]     0.8009,     0.9034,     0.9293,     2.7965, 
[ 19200,  0.0000247]     0.8177,     0.9121,     0.9347,     2.9181, 
[ 19300,  0.0000243]     0.8214,     0.9101,     0.9318,     3.1009, 
[ 19400,  0.0000239]     0.8083,     0.9031,     0.9271,     3.0972, 
[ 19500,  0.0000235]     0.8201,     0.9158,     0.9389,     2.5159, 
[ 19600,  0.0000231]     0.7976,     0.9003,     0.9254,     3.4501, 
[ 19700,  0.0000226]     0.8249,     0.9163,     0.9382,     2.4747, 
[ 19800,  0.0000222]     0.8217,     0.9139,     0.9361,     2.3967, 
[ 19900,  0.0000218]     0.7986,     0.8940,     0.9201,     3.7300, 
[ 20000,  0.0000214]     0.8150,     0.9068,     0.9288,     3.3579, 
Validation (clean) EPE: 1.914630, 1px: 0.866454, 3px: 0.942405, 5px: 0.959203
Validation (final) EPE: 3.133135, 1px: 0.829393, 3px: 0.916581, 5px: 0.939842
[ 20100,  0.0000210]     0.8252,     0.9167,     0.9397,     2.2990, 
[ 20200,  0.0000206]     0.8200,     0.9124,     0.9355,     2.7528, 
[ 20300,  0.0000201]     0.8087,     0.9042,     0.9289,     2.8164, 
[ 20400,  0.0000197]     0.8115,     0.9022,     0.9252,     3.5474, 
[ 20500,  0.0000193]     0.8227,     0.9159,     0.9397,     2.6091, 
[ 20600,  0.0000189]     0.8151,     0.9079,     0.9318,     2.9046, 
[ 20700,  0.0000185]     0.8153,     0.9085,     0.9327,     2.9815, 
[ 20800,  0.0000180]     0.8181,     0.9098,     0.9327,     2.8753, 
[ 20900,  0.0000176]     0.8163,     0.9133,     0.9373,     2.3791, 
[ 21000,  0.0000172]     0.8225,     0.9123,     0.9344,     2.5803, 
[ 21100,  0.0000168]     0.8019,     0.9008,     0.9270,     2.8245, 
[ 21200,  0.0000164]     0.8101,     0.9072,     0.9320,     2.7916, 
[ 21300,  0.0000159]     0.8185,     0.9081,     0.9309,     2.9081, 
[ 21400,  0.0000155]     0.8167,     0.9089,     0.9322,     2.6412, 
[ 21500,  0.0000151]     0.8280,     0.9195,     0.9408,     2.5663, 
[ 21600,  0.0000147]     0.8267,     0.9174,     0.9390,     2.5126, 
[ 21700,  0.0000143]     0.8133,     0.9053,     0.9302,     2.6133, 
[ 21800,  0.0000138]     0.8179,     0.9101,     0.9331,     2.7559, 
[ 21900,  0.0000134]     0.8043,     0.9005,     0.9258,     2.9115, 
[ 22000,  0.0000130]     0.8153,     0.9110,     0.9353,     2.8671, 
[ 22100,  0.0000126]     0.8169,     0.9148,     0.9390,     2.5065, 
[ 22200,  0.0000122]     0.8172,     0.9126,     0.9361,     2.7375, 
[ 22300,  0.0000117]     0.8268,     0.9167,     0.9413,     2.0483, 
[ 22400,  0.0000113]     0.8215,     0.9118,     0.9349,     2.8161, 
[ 22500,  0.0000109]     0.8091,     0.9029,     0.9273,     3.1308, 
[ 22600,  0.0000105]     0.8161,     0.9068,     0.9297,     2.9936, 
[ 22700,  0.0000101]     0.8125,     0.9100,     0.9342,     2.5093, 
